S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
203,Central Area,Category 1,>1000,91.49,Q1 2017
204,Central Area,Category 1,>200 - 500,96.88,Q1 2017
205,Central Area,Category 1,>500 - 1000,96.88,Q1 2017
206,Central Area,Category 2,100 & Below,58.95,Q1 2017
207,Central Area,Category 2,>100 - 200,64.59,Q1 2017
208,Central Area,Category 2,>1000,69.07,Q1 2017
209,Central Area,Category 2,>200 - 500,63.45,Q1 2017
210,Central Area,Category 2,>500 - 1000,66,Q1 2017
211,Central Area,Category 1,100 & Below,99.02,Q2 2017
212,Central Area,Category 1,>100 - 200,96.87,Q2 2017
213,Central Area,Category 1,>1000,92.36,Q2 2017
214,Central Area,Category 1,>200 - 500,96.16,Q2 2017
215,Central Area,Category 1,>500 - 1000,96.33,Q2 2017
216,Central Area,Category 2,100 & Below,56.9,Q2 2017
217,Central Area,Category 2,>100 - 200,64.58,Q2 2017
218,Central Area,Category 2,>1000,68.35,Q2 2017
219,Central Area,Category 2,>200 - 500,67.81,Q2 2017
220,Central Area,Category 2,>500 - 1000,64.58,Q2 2017
221,Central Area,Category 1,100 & Below,96.87,Q3 2017
222,Central Area,Category 1,>100 - 200,96.84,Q3 2017
223,Central Area,Category 1,>1000,93.65,Q3 2017
224,Central Area,Category 1,>200 - 500,93.44,Q3 2017
225,Central Area,Category 1,>500 - 1000,95.8,Q3 2017
226,Central Area,Category 2,100 & Below,59.24,Q3 2017
227,Central Area,Category 2,>100 - 200,64.57,Q3 2017
228,Central Area,Category 2,>1000,67.66,Q3 2017
229,Central Area,Category 2,>200 - 500,63.76,Q3 2017
230,Central Area,Category 2,>500 - 1000,63.44,Q3 2017
231,Central Area,Category 1,100 & Below,102.26,Q4 2017
232,Central Area,Category 1,>100 - 200,99.02,Q4 2017
233,Central Area,Category 1,>1000,97.65,Q4 2017
234,Central Area,Category 1,>200 - 500,96.87,Q4 2017
235,Central Area,Category 1,>500 - 1000,96.88,Q4 2017
236,Central Area,Category 2,100 & Below,56.94,Q4 2017
237,Central Area,Category 2,>100 - 200,63.64,Q4 2017
238,Central Area,Category 2,>1000,66.48,Q4 2017
239,Central Area,Category 2,>200 - 500,67.5,Q4 2017
240,Central Area,Category 2,>500 - 1000,67.29,Q4 2017
241,Central Area,Category 1,100 & Below,100.45,Q1 2018
242,Central Area,Category 1,>100 - 200,96.88,Q1 2018
243,Central Area,Category 1,>1000,96.87,Q1 2018
244,Central Area,Category 1,>200 - 500,102.25,Q1 2018
245,Central Area,Category 1,>500 - 1000,91.49,Q1 2018
246,Central Area,Category 2,100 & Below,58.06,Q1 2018
247,Central Area,Category 2,>100 - 200,66.7,Q1 2018
248,Central Area,Category 2,>1000,81.23,Q1 2018
249,Central Area,Category 2,>200 - 500,68.93,Q1 2018
250,Central Area,Category 2,>500 - 1000,71.58,Q1 2018
251,Central Area,Category 1,100 & Below,99.76,Q2 2018
